split,fold,Threshold,TP,FP,TN,FN,IoU,Precision,Recall,Pixel Accuracy
val,fold_1,0.5,309828,716274,50484085,263253,0.24029689263236081,0.30194659010507435,0.5406356169546619,0.9810805115518689
val,fold_1,0.3,322472,772156,50428203,250609,0.23971389428033693,0.29459505877795655,0.5626988156996906,0.9802453729170786
val,fold_1,0.25,325551,787277,50413082,247530,0.23931273973468573,0.29254386122563153,0.5680715291555545,0.9800127826159512
val,fold_1,0.2,328522,803534,50396825,244559,0.23864479175368394,0.2901994247634367,0.5732557875762663,0.9797561645507811
val,fold_2,0.5,126591,43692,52845218,396339,0.2234134925929416,0.7434153732315766,0.24208020193906943,0.991761545754649
val,fold_2,0.3,130109,45627,52843283,392821,0.22884073188791573,0.740366231164887,0.24880767980417554,0.9917911833780674
val,fold_2,0.25,130834,46067,52842843,392096,0.22993794343379262,0.7395888095601076,0.250194098636524,0.9917965192736291
val,fold_2,0.2,131561,46569,52842341,391369,0.23101181916034566,0.7385673384606333,0.25158434207254793,0.9918007318227567
val,fold_3,0.5,109565,174853,43612379,208931,0.22208416354345054,0.38522526703653126,0.34400746006228194,0.9912985451685548
val,fold_3,0.3,112620,187238,43599994,205876,0.2226862342654395,0.3755777734794344,0.35359941726111616,0.9910870080185502
val,fold_3,0.25,113484,191148,43596084,205012,0.2226730816020551,0.37252816513037457,0.3563121671857619,0.9910179466939077
val,fold_3,0.2,114409,195717,43591515,204087,0.22249340253941027,0.36891134571108614,0.35921644227869864,0.990935327039608
val,fold_4,0.5,176831,50009,42476029,354283,0.3042918624800549,0.7795406453887859,0.33294358649931405,0.9906103404145261
val,fold_4,0.3,179584,53881,42472157,351530,0.30698382037452787,0.7692116591351693,0.33812703110819264,0.9905843517007347
val,fold_4,0.25,180304,54859,42471179,350810,0.30770018413817174,0.7667192543044286,0.3394826722699771,0.9905783596648472
val,fold_4,0.2,181030,56035,42470003,350084,0.30832037523694483,0.7636302279965088,0.3408496104414431,0.9905679084394619
val,fold_5,0.5,222131,81333,42957995,254445,0.39814916052617183,0.7319846835209207,0.46609774726380543,0.9922837866358009
val,fold_5,0.3,230529,94060,42945268,246047,0.4039860786911375,0.7102181528024453,0.48371928087019733,0.9921843057655425
val,fold_5,0.25,232517,98153,42941175,244059,0.4045680659928348,0.7031693228898689,0.48789070368628534,0.9921359326466018
val,fold_5,0.2,234469,103088,42936240,242107,0.4044912225013041,0.6946056517861963,0.49198658765862124,0.9920673829963407
